ME;SYMBOL;miRNA;miRNA Count;Tarbase;miRNA Details;;;;;;;;;;
yellow;ODC1;hsa-miR-181a-5p;6;#N/A;hsa-miR-181a-5p;hsa-miR-26b-5p;hsa-miR-378a-3p;;;;;;;;
yellow;DNMT3B;hsa-miR-21-5p;8;hsa-miR-29a-3p;hsa-miR-21-5p;hsa-miR-26b-5p;hsa-miR-20a-5p;hsa-miR-17-5p;;;;;;;
yellow;SLC39A6;hsa-miR-26b-5p;9;#N/A;hsa-miR-26b-5p;hsa-miR-20a-5p;hsa-miR-17-5p;hsa-miR-126-3p;hsa-miR-92a-3p;hsa-miR-196a-5p;;;;;
yellow;UBR1;hsa-miR-26b-5p;9;#N/A;hsa-miR-26b-5p;hsa-miR-20a-5p;hsa-miR-17-5p;hsa-miR-378a-3p;hsa-miR-140-5p;;;;;;
yellow;SASH1;hsa-miR-125a-5p;9;#N/A;hsa-miR-125a-5p;hsa-miR-20a-5p;hsa-miR-130a-3p;hsa-miR-17-5p;hsa-miR-125b-5p;;;;;;
yellow;CAMTA1;hsa-miR-21-5p;16;hsa-miR-129-5p;hsa-miR-21-5p;hsa-miR-181a-5p;hsa-miR-26b-5p;hsa-miR-20a-5p;hsa-miR-130a-3p;hsa-miR-17-5p;hsa-miR-140-5p;hsa-miR-99b-5p;hsa-miR-92a-3p;;
yellow;IL6R;hsa-miR-143-3p;8;hsa-miR-34c-5p;hsa-miR-143-3p;hsa-miR-21-5p;hsa-miR-125a-5p;hsa-miR-125b-5p;hsa-miR-196a-5p;;;;;;
yellow;DIP2C;hsa-miR-181a-5p;11;#N/A;hsa-miR-181a-5p;hsa-miR-20a-5p;hsa-miR-130a-3p;hsa-miR-17-5p;hsa-miR-140-5p;hsa-miR-18a-5p;;;;;
yellow;PXDN;hsa-miR-20a-5p;8;hsa-miR-29a-3p;hsa-miR-20a-5p;hsa-miR-130a-3p;hsa-miR-17-5p;hsa-miR-92a-3p;hsa-miR-196a-5p;;;;;;
yellow;PNKD;hsa-miR-20a-5p;6;#N/A;hsa-miR-20a-5p;hsa-miR-17-5p;hsa-miR-378a-3p;;;;;;;;
yellow;PLEKHA7;hsa-miR-26b-5p;5;#N/A;hsa-miR-26b-5p;hsa-miR-130a-3p;hsa-miR-148b-3p;;;;;;;;
yellow;PDHB;hsa-miR-26b-5p;7;#N/A;hsa-miR-26b-5p;hsa-miR-125a-5p;hsa-miR-92a-3p;hsa-miR-148b-3p;hsa-miR-125b-5p;;;;;;
yellow;ZNF609;hsa-miR-125a-3p;6;#N/A;hsa-miR-125a-3p;hsa-miR-21-5p;hsa-miR-7-5p;hsa-miR-130a-3p;;;;;;;
yellow;CANX;hsa-miR-21-5p;7;#N/A;hsa-miR-21-5p;hsa-miR-130a-3p;hsa-miR-18a-5p;hsa-miR-148b-3p;;;;;;;
yellow;KDM6A;hsa-miR-181a-5p;10;#N/A;hsa-miR-181a-5p;hsa-miR-26b-5p;hsa-miR-20a-5p;hsa-miR-17-5p;hsa-miR-18a-5p;;;;;;
yellow;ANKRD12;hsa-miR-143-3p;11;#N/A;hsa-miR-143-3p;hsa-miR-7-5p;hsa-miR-20a-5p;hsa-miR-130a-3p;hsa-miR-17-5p;hsa-miR-140-5p;hsa-miR-92a-3p;;;;
yellow;RYK;hsa-miR-7-5p;9;#N/A;hsa-miR-7-5p;hsa-miR-26b-5p;hsa-miR-20a-5p;hsa-miR-17-5p;hsa-miR-18a-5p;;;;;;
yellow;ZNF532;hsa-miR-20a-5p;5;#N/A;hsa-miR-20a-5p;hsa-miR-17-5p;hsa-miR-92a-3p;;;;;;;;
yellow;ACVR2A;hsa-miR-181a-5p;6;hsa-miR-16-5p;hsa-miR-181a-5p;hsa-miR-130a-3p;hsa-miR-125b-5p;hsa-miR-196a-5p;;;;;;;
yellow;PSEN1;hsa-miR-7-5p;8;hsa-miR-562;hsa-miR-7-5p;hsa-miR-181a-5p;hsa-miR-130a-3p;hsa-miR-193a-3p;hsa-miR-140-5p;hsa-miR-148b-3p;;;;;
yellow;ZNF512B;hsa-miR-125a-3p;16;#N/A;hsa-miR-125a-3p;hsa-miR-26b-5p;hsa-miR-125a-5p;hsa-miR-20a-5p;hsa-miR-17-5p;hsa-miR-378a-3p;hsa-miR-140-5p;hsa-miR-92a-3p;hsa-miR-18a-5p;hsa-miR-125b-5p;
yellow;DHX33;hsa-miR-143-3p;8;#N/A;hsa-miR-143-3p;hsa-miR-125a-5p;hsa-miR-99b-5p;hsa-miR-125b-5p;hsa-miR-196a-5p;;;;;;
yellow;SOX21;hsa-miR-125a-3p;6;#N/A;hsa-miR-125a-3p;hsa-miR-130a-3p;hsa-miR-92a-3p;hsa-miR-18a-5p;;;;;;;
yellow;SPTBN1;hsa-miR-143-3p;10;hsa-miR-145-5p;hsa-miR-143-3p;hsa-miR-26b-5p;hsa-miR-20a-5p;hsa-miR-130a-3p;hsa-miR-17-5p;;;;;;
yellow;POM121C;hsa-miR-143-3p;16;#N/A;hsa-miR-143-3p;hsa-miR-21-5p;hsa-miR-181a-5p;hsa-miR-26b-5p;hsa-miR-18a-5p;;;;;;
